year         Tmin
     1          3.36
     2          1.09
     3          0.61
     4          0.33
     5          0.13
     6        -0.025
     7         -0.15
     8         -0.26
     9         -0.35
    10         -0.43
    11          -0.5
    12         -0.57
    13         -0.62
    14         -0.68
    15         -0.73
    16         -0.77
    17         -0.81
    18         -0.85
    19         -0.89
    20         -0.93
    21         -0.96
    22         -0.99
    23         -1.02
    24         -1.05
    25         -1.07
    26          -1.1
    27         -1.12
    28         -1.15
    29         -1.17
    30         -1.19
    31         -1.21
    32         -1.23
    33         -1.25
    34         -1.27
    35         -1.29
    36         -1.31
    37         -1.32
    38         -1.34
    39         -1.35
    40         -1.37
    41         -1.38
    42          -1.4
    43         -1.41
    44         -1.42
    45         -1.44
    46         -1.45
    47         -1.46
    48         -1.47
    49         -1.49
    50          -1.5
